fipdate,exposed_aw,exposed_po,exposed_wd,date,fips
60112019-08-16,1,0,0,2019-08-16,6011
60112019-08-17,1,0,0,2019-08-17,6011
60112019-08-23,1,0,0,2019-08-23,6011
60112019-08-24,1,0,0,2019-08-24,6011
60112019-08-25,1,0,0,2019-08-25,6011
60112019-08-26,1,0,0,2019-08-26,6011
60112019-08-27,1,0,0,2019-08-27,6011
60112019-08-28,1,0,0,2019-08-28,6011
60112019-09-14,1,0,0,2019-09-14,6011
60112019-09-25,1,0,0,2019-09-25,6011
60112019-09-26,1,0,0,2019-09-26,6011
60112019-09-27,1,0,0,2019-09-27,6011
60132018-06-23,1,0,0,2018-06-23,6013
60132018-06-24,1,0,0,2018-06-24,6013
60132018-07-01,1,0,0,2018-07-01,6013
60132018-07-07,1,0,0,2018-07-07,6013
60132018-07-25,1,0,0,2018-07-25,6013
60132018-07-26,1,0,0,2018-07-26,6013
60132019-06-10,1,0,0,2019-06-10,6013
60132019-06-11,1,0,0,2019-06-11,6013
60132019-06-12,1,0,0,2019-06-12,6013
60132019-06-13,1,0,0,2019-06-13,6013
60132019-07-23,1,0,0,2019-07-23,6013
60132019-07-25,1,0,0,2019-07-25,6013
60132019-07-26,1,0,0,2019-07-26,6013
60132019-07-28,1,0,0,2019-07-28,6013
60132019-07-29,1,0,0,2019-07-29,6013
60132019-08-04,1,0,0,2019-08-04,6013
60132019-08-14,1,0,0,2019-08-14,6013
60132019-08-15,1,0,0,2019-08-15,6013
60132019-08-16,1,0,0,2019-08-16,6013
60132019-08-17,1,0,0,2019-08-17,6013
60132019-08-23,1,0,0,2019-08-23,6013
60132019-08-26,1,0,0,2019-08-26,6013
60132019-08-27,1,0,0,2019-08-27,6013
60132019-08-28,1,0,0,2019-08-28,6013
60132019-09-01,1,0,0,2019-09-01,6013
60132019-09-02,1,0,0,2019-09-02,6013
60132019-09-14,1,0,0,2019-09-14,6013
60132019-09-15,1,0,0,2019-09-15,6013
60132019-09-25,1,0,0,2019-09-25,6013
60132019-09-26,1,0,0,2019-09-26,6013
60152019-06-12,1,0,0,2019-06-12,6015
60152019-08-28,1,0,0,2019-08-28,6015
60172018-02-26,0,1,0,2018-02-26,6017
60172018-02-27,0,1,0,2018-02-27,6017
60172018-03-03,0,1,0,2018-03-03,6017
60172018-03-04,0,1,0,2018-03-04,6017
60172018-03-05,0,1,0,2018-03-05,6017
60172018-03-16,0,1,0,2018-03-16,6017
60172018-03-17,0,1,0,2018-03-17,6017
60172018-03-18,0,1,0,2018-03-18,6017
60172018-03-19,0,1,0,2018-03-19,6017
60172018-07-13,1,0,0,2018-07-13,6017
60172018-07-15,1,0,0,2018-07-15,6017
