fipdate,fips_wd,date_wd,exposed_wd
60592018-09-14,6059,2018-09-14,1
60652018-08-10,6065,2018-08-10,1
60652018-08-11,6065,2018-08-11,1
60652018-08-12,6065,2018-08-12,1
60652018-08-13,6065,2018-08-13,1
60652018-08-14,6065,2018-08-14,1
60652018-08-15,6065,2018-08-15,1
60652018-08-16,6065,2018-08-16,1
60652018-08-17,6065,2018-08-17,1
60652018-08-18,6065,2018-08-18,1
60652018-08-19,6065,2018-08-19,1
60652018-08-20,6065,2018-08-20,1
60652018-08-21,6065,2018-08-21,1
60652018-08-22,6065,2018-08-22,1
60652018-08-23,6065,2018-08-23,1
60652018-08-24,6065,2018-08-24,1
60652018-08-25,6065,2018-08-25,1
60652018-08-26,6065,2018-08-26,1
60652018-08-27,6065,2018-08-27,1
60652018-08-28,6065,2018-08-28,1
60652018-08-29,6065,2018-08-29,1
60652018-08-30,6065,2018-08-30,1
60652018-08-31,6065,2018-08-31,1
60652018-09-01,6065,2018-09-01,1
60652018-09-02,6065,2018-09-02,1
60652018-09-03,6065,2018-09-03,1
60652018-09-04,6065,2018-09-04,1
60652018-09-05,6065,2018-09-05,1
60652018-09-06,6065,2018-09-06,1
60652018-09-07,6065,2018-09-07,1
60652018-09-08,6065,2018-09-08,1
60652018-09-09,6065,2018-09-09,1
60652018-09-10,6065,2018-09-10,1
60652018-09-11,6065,2018-09-11,1
60652018-09-12,6065,2018-09-12,1
60652018-09-13,6065,2018-09-13,1
60652018-09-14,6065,2018-09-14,1
60352018-06-27,6035,2018-06-27,1
60352018-06-28,6035,2018-06-28,1
60352018-06-29,6035,2018-06-29,1
60052018-07-06,6005,2018-07-06,1
60052018-07-07,6005,2018-07-07,1
60052018-07-08,6005,2018-07-08,1
60052018-07-09,6005,2018-07-09,1
60332019-10-23,6033,2019-10-23,1
60332019-10-24,6033,2019-10-24,1
60332019-10-25,6033,2019-10-25,1
60332019-10-26,6033,2019-10-26,1
60332019-10-27,6033,2019-10-27,1
60332019-10-28,6033,2019-10-28,1
60332019-10-29,6033,2019-10-29,1
60332019-10-30,6033,2019-10-30,1
60332019-10-31,6033,2019-10-31,1
60332019-11-01,6033,2019-11-01,1
60332019-11-02,6033,2019-11-02,1
60332019-11-03,6033,2019-11-03,1
60332019-11-04,6033,2019-11-04,1
60332019-11-05,6033,2019-11-05,1
60332019-11-06,6033,2019-11-06,1
60332019-11-07,6033,2019-11-07,1
60332019-11-08,6033,2019-11-08,1
60332019-11-09,6033,2019-11-09,1
60332019-11-10,6033,2019-11-10,1
60972019-10-23,6097,2019-10-23,1
60972019-10-24,6097,2019-10-24,1
60972019-10-25,6097,2019-10-25,1
60972019-10-26,6097,2019-10-26,1
60972019-10-27,6097,2019-10-27,1
60972019-10-28,6097,2019-10-28,1
60972019-10-29,6097,2019-10-29,1
60972019-10-30,6097,2019-10-30,1
60972019-10-31,6097,2019-10-31,1
60972019-11-01,6097,2019-11-01,1
60972019-11-02,6097,2019-11-02,1
60972019-11-03,6097,2019-11-03,1
60972019-11-04,6097,2019-11-04,1
60972019-11-05,6097,2019-11-05,1
60972019-11-06,6097,2019-11-06,1
60972019-11-07,6097,2019-11-07,1
60972019-11-08,6097,2019-11-08,1
60972019-11-09,6097,2019-11-09,1
60972019-11-10,6097,2019-11-10,1
60932018-07-05,6093,2018-07-05,1
60932018-07-06,6093,2018-07-06,1
60932018-07-07,6093,2018-07-07,1
60932018-07-08,6093,2018-07-08,1
60932018-07-09,6093,2018-07-09,1
60932018-07-10,6093,2018-07-10,1
60932018-07-11,6093,2018-07-11,1
60932018-07-12,6093,2018-07-12,1
60932018-07-13,6093,2018-07-13,1
60932018-07-14,6093,2018-07-14,1
60932018-07-15,6093,2018-07-15,1
60932018-07-16,6093,2018-07-16,1
60932018-07-17,6093,2018-07-17,1
60932018-07-18,6093,2018-07-18,1
60932018-07-19,6093,2018-07-19,1
60932018-07-20,6093,2018-07-20,1
60932018-07-21,6093,2018-07-21,1
60352019-08-24,6035,2019-08-24,1
60352019-08-25,6035,2019-08-25,1
60352019-08-26,6035,2019-08-26,1
60352019-08-27,6035,2019-08-27,1
60892019-08-22,6089,2019-08-22,1
60892019-08-23,6089,2019-08-23,1
60892019-08-24,6089,2019-08-24,1
60892019-08-25,6089,2019-08-25,1
60892019-08-26,6089,2019-08-26,1
60892019-08-27,6089,2019-08-27,1
60892019-08-28,6089,2019-08-28,1
60892019-08-29,6089,2019-08-29,1
60892019-08-30,6089,2019-08-30,1
60892019-08-31,6089,2019-08-31,1
60952018-08-10,6095,2018-08-10,1
60952018-08-11,6095,2018-08-11,1
60952018-08-12,6095,2018-08-12,1
60952018-08-13,6095,2018-08-13,1
60952018-08-14,6095,2018-08-14,1
60112018-06-23,6011,2018-06-23,1
60112018-06-24,6011,2018-06-24,1
60112018-06-25,6011,2018-06-25,1
60112018-06-26,6011,2018-06-26,1
60112018-06-27,6011,2018-06-27,1
60112018-06-28,6011,2018-06-28,1
60112018-06-29,6011,2018-06-29,1
60112018-06-30,6011,2018-06-30,1
60112018-07-01,6011,2018-07-01,1
60112018-07-02,6011,2018-07-02,1
60112018-07-03,6011,2018-07-03,1
60112018-07-04,6011,2018-07-04,1
60112018-07-05,6011,2018-07-05,1
60112018-07-06,6011,2018-07-06,1
60112018-07-07,6011,2018-07-07,1
60112018-07-08,6011,2018-07-08,1
60332018-06-23,6033,2018-06-23,1
60332018-06-24,6033,2018-06-24,1
60332018-06-25,6033,2018-06-25,1
60332018-06-26,6033,2018-06-26,1
60332018-06-27,6033,2018-06-27,1
60332018-06-28,6033,2018-06-28,1
60332018-06-29,6033,2018-06-29,1
60332018-06-30,6033,2018-06-30,1
60332018-07-01,6033,2018-07-01,1
60332018-07-02,6033,2018-07-02,1
60332018-07-03,6033,2018-07-03,1
60332018-07-04,6033,2018-07-04,1
60332018-07-05,6033,2018-07-05,1
60332018-07-06,6033,2018-07-06,1
60332018-07-07,6033,2018-07-07,1
60332018-07-08,6033,2018-07-08,1
60112018-07-27,6011,2018-07-27,1
60112018-07-28,6011,2018-07-28,1
60112018-07-29,6011,2018-07-29,1
60112018-07-30,6011,2018-07-30,1
60112018-07-31,6011,2018-07-31,1
60112018-08-01,6011,2018-08-01,1
60112018-08-02,6011,2018-08-02,1
60112018-08-03,6011,2018-08-03,1
60112018-08-04,6011,2018-08-04,1
60112018-08-05,6011,2018-08-05,1
60112018-08-06,6011,2018-08-06,1
60112018-08-07,6011,2018-08-07,1
60112018-08-08,6011,2018-08-08,1
60112018-08-09,6011,2018-08-09,1
60112018-08-10,6011,2018-08-10,1
60112018-08-11,6011,2018-08-11,1
60112018-08-12,6011,2018-08-12,1
